productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3
B000096RIC,"Batman Batmobile Vehicle for 6"" Action Figures (2003 Mattel)",unknown,2/2,2.0,1077840000,"After we took this out of the box, we couldn't believe how sharp and rigid the tail pieces were. We cut off the points to make the ends blunt for a little piece of mind seeing that it would be in the hands of a four year old. But why should the consumer need to spend a great deal of money on a child's toy and then have to make it safer? And finally-WHERE IS ROBIN? What a brilliant idea to create a special pull out section for an impossible to find sidekick!",toys games,action toy figures,accessories
B00006JK3R,Sunshine Kids Super Mat,A1IUYWIMRIW95G,2/2,4.0,1223510400,"Purchased Super Mat years ago when my children were infants. They are both 9 and 7 and I still am using the mat. Does a great job of protecting your vehicle's seats from damage. Does not protect the seat backs that can get marked up from the full size child seats. I would have bought the Ultimate version of this product that does cover the entire seat if I had known about it then. Now that my boys are in booster seats, this mat is really doing it's job. Kids love the handy pocket to store their ""stuff"".",baby products,car seats accessories,accessories
B0009RNXNA,J.L. Childress Ultimate Car Seat Travel Bag,AGLMXKR2XVN0L,0/0,5.0,1303862400,"This car seat travel bag is excellent; the material is sturdy, the back is well-padded and the bag is very roomy - enough to accommodate a baby car seat or a toddler or booster seat). I love that this bag provides extra room for additional items as well. I was able to put all of my babe's clothing, etc. into this bag for a recent plane ride, which allowed us to travel without paying for any checked luggage (because car seats are checked for free).",baby products,car seats accessories,accessories
B0001EM8I2,Munchkin Auto Seat Protector,A3VWAPQ6RZFS97,25/25,3.0,1232928000,"I bought this with the expectation that it would protect my leather seats. My leather backseats (light gray leather is not a good color) ended up discolored by the mat on this product.Fortunately, it did protect from other markings and scratches and I was able to clean my seats well enough. If you have cloth backseats, this would be an ideal solution for protection, but I think overall this product and others like it might be overrated.",baby products,car seats accessories,accessories
B000058DOB,SafeFit Car Seat Leveler,A3WR46TU55B5X,0/0,5.0,1329609600,"Ever since we moved ""up"" to convertible car seats for our twins, we could never install them properly (level) in the rear-facing position and it was always a point of stress between my hubby and I as we were getting ready to go anywhere.These little car seat levelers, however, changed all that. They fit perfectly under the seat and helps it to stay put in a tight position the way it should. Love them. You have three different angle options as you turn them around to different positions, so I imagine they would work with a range of different seats.",baby products,car seats accessories,accessories
B0007D698W,Protect-a-Bub Classic Sunshade,A1NZXV7KNPLBGQ,0/0,3.0,1315440000,"We live in Arizona so sun protection is a big issue and I did not want to have to apply sunscreen to my twins every morning to go for our walk. The shades that come with strollers are never adequate to keep them in the shade. The sunshade helps but in order to keep them shaded sometimes I have to untie the back ties and let the shade tip over the fron and rest on the front crossbars, which completely obstructs the boys' view. Again, it's better than nothing and nice to have something that works on a side by side double stroller. It also does blow backward on windy days but unless you live in a particularly windy place you'll probably be ok most days.",baby products,strollers,accessories
B0001CJ9XQ,JJ Cole Original Infant Bundleme,A2OEZ4YVTQ56CX,0/0,5.0,1195948800,"What could be better than not struggling with removing your baby's coat the second you enter a warm environment. With this product, you hardly NEED coat for your infant. So easy to remove. And it's easy to take out of the car seat for a wash.We had the snap'n'go stroller with the bundle me in the car seat. So, basically, my babies never wore a jacket in the winter. All we did was unzip the top covering of the Bundle Me and that was that!",baby products,car seats accessories,accessories
B00009VE5O,"JJ Cole Original Infant Bundle Me, Graphite",A1H0UGHJ0OE7QE,1/1,4.0,1294012800,"Our daughter has three snowsuits that she's never used thanks to this great product. I've watched other parents struggle with getting their babies in and out of full body suits and am grateful for the Bundle Me. You still have to put a hat on them and something long sleeve since the top half of their bodies may be more exposed than the bottom. You also have to watch out that the top part doesn't cover your baby's face, especially if they are sleeping. Also, either unzip and fold down the top part when in the car or do not turn the heat up too high as it can get very warm inside the Bundle Me. I've taken my daughter out to find she was sweating. It can bulk up the interior of a car seat so that has to be considered in terms of how far the straps in your car seat can extend. We are using the Chicco Keyfit 30 and my daughter weighs 14 lbs and we are close to the max on how far the straps will extend.",baby products,car seats accessories,accessories
B0009RNXNA,J.L. Childress Ultimate Car Seat Travel Bag,A1TNK04SOJ4509,0/0,5.0,1330041600,"This carrying case saved my back as well as a lot of money. We were going to be traveling for 3 weeks and didn't want to rent a carseat from the rental car company due to cost. Also wanted to ensure my son was comfortable while doing a lot of touring. This bag makes it so easy to carry the carseat while having your hands for luggage and such. Looks a bit ridiculous because of the size, but truly does the trick. Also found it extremely protective and durable.",baby products,car seats accessories,accessories
B000PCB4L2,BOB Weather Shield For Duallie Sport Utility Stroller Models in Yellow,A1RKNCTRM5UVKI,1/1,5.0,1233964800,"This durable shield fits easily onto the double BOB. I was hesitant to spend the money.. there are no other options for this stroller. But now that I've seen the custom fit, I am thankful I bought it.Keeps the wind and rain off of my little ones for long walks. They are happy with the visibility they have. The only thing I'd wish for is a clear shield at the top so I could see my kids while walking. Other color options (like orange or pink) would also be nice :)",baby products,strollers,accessories
